210,20,1650,1950,3750,2000,----,----,----,----,----,----,----
210,25,1750,2100,3625,1925,----,----,----,----,----,----,----
210,30,1900,2250,3525,1825,----,----,----,----,----,----,----
210,35,2050,2450,3400,1750,----,----,----,----,----,----,----
210,40,2150,2600,3275,1650,----,----,----,----,----,----,----
210,45,2300,2750,3200,1575,----,----,----,----,----,----,----
210,50,2450,2950,3125,1500,----,----,----,----,----,----,----
210,55,2600,3100,3025,1450,----,----,----,----,----,----,----
210,60,2700,3250,2950,1375,----,----,----,----,----,----,----
220,20,1750,2100,3600,1875,NO,DATA,2300,2725,2350,2875,2400
220,25,1900,2250,3500,1800,NO,DATA,2500,2925,2550,3125,2575
220,30,2050,2450,3375,1700,N/A,N/A,2675,3100,2750,3325,2775
220,35,2200,2650,3250,1625,N/A,N/A,2875,3325,2925,3575,2975
220,40,2350,2800,3125,1525,N/A,N/A,3050,3500,3125,3800,3175
220,45,2500,3000,3050,1450,N/A,N/A,3250,3700,3300,3975,3350
220,50,2650,3150,2975,1375,N/A,N/A,3425,3900,3500,4200,3550
220,55,2800,3350,2900,1325,N/A,N/A,3625,4100,3675,4400,3725
220,60,2950,3550,2800,1250,N/A,N/A,3800,4300,3875,4650,3925
230,20,1950,2350,3450,1775,NO,DATA,2500,2925,2600,3225,2625
230,25,2150,2600,3350,1700,NO,DATA,2700,3150,2800,3475,2925
230,30,2300,2750,3250,1600,N/A,N/A,2925,3375,3000,3700,3050
230,35,2450,2950,3125,1525,N/A,N/A,3125,3575,3225,3925,3250
230,40,2600,3100,3000,1425,N/A,N/A,3350,3825,3425,4173,3475
230,45,2800,3350,2925,1350,N/A,N/A,3525,4000,3625,4450,3675
230,50,2950,3550,2850,1275,N/A,N/A,3750,4250,3825,4700,3875
230,55,3100,3700,2750,1225,N/A,N/A,3950,4400,4050,4975,4100
230,60,3300,3950,2650,1150,N/A,N/A,4150,4675,4250,5250,4300
240,20,2150,2600,3300,1650,NO,DATA,2700,3150,2825,3450,2850
240,25,2350,2800,3200,1575,NO,DATA,2925,3375,3050,3700,3100
240,30,2500,3000,3100,1475,N/A,N/A,3150,3600,3275,3975,3325
240,35,2700,3250,2975,1400,N/A,N/A,3375,3850,3500,4225,3550
240,40,2850,3400,2850,1300,N/A,N/A,3600,4075,3725,4500,3775
240,45,3050,3650,2775,1225,N/A,N/A,3925,4425,3950,4750,4000
240,50,3200,3850,2700,1150,N/A,N/A,4050,4575,4175,5050,4225
240,55,3400,4050,2600,1100,N/A,N/A,4275,4825,4400,5300,4450
240,60,3600,4250,2500,1025,N/A,N/A,4500,5075,4625,5600,4700
250,20,2350,2800,3175,1575,NO,DATA,2950,3400,3075,3625,3125
250,25,2550,3050,3075,1475,NO,DATA,3200,3650,3325,3900,3350
250,30,2750,3300,2975,1375,N/A,N/A,3425,3900,3575,4150,3600
250,35,2950,3550,2850,1300,N/A,N/A,3675,4175,3800,4425,3850
250,40,3150,3800,2750,1225,N/A,N/A,3900,4400,4050,4700,4100
250,45,3350,4000,2650,1150,N/A,N/A,4150,4675,4300,5000,4350
250,50,3500,4150,2575,1075,N/A,N/A,4375,4925,4550,5275,4625
250,55,3750,4400,2475,1025,N/A,N/A,4625,5225,4800,5625,4875
250,60,3950,4650,2400,950,N/A,N/A,4850,5500,5075,5950,5150
260,20,2550,3050,3050,1475,NO,DATA,3200,3675,3325,4025,3375
260,25,2750,3300,2950,1400,NO,DATA,3450,3925,3600,4325,3625
260,30,2950,3550,2850,1300,N/A,N/A,3700,4200,3850,4600,3900
260,35,3200,3850,2750,1225,N/A,N/A,3950,4450,4125,4900,4175
260,40,3400,4050,2625,1125,N/A,N/A,4200,4775,4400,5200,4450
260,45,3600,4250,2550,1050,N/A,N/A,4450,5025,4775,5525,4725
260,50,3800,4450,2450,975,N/A,N/A,4700,5300,4950,5800,5025
260,55,4050,4750,2375,925,199,N/A,4950,5600,5225,6100,5300
260,60,4250,5000,2275,850,190,N/A,5200,5875,5500,6400,5575
270,20,2750,3300,2925,1400,NO,DATA,3450,3925,3575,4225,3625
270,25,3000,3600,2825,1300,NO,DATA,3725,4225,3875,4550,3925
270,30,3200,3850,2725,1200,N/A,N/A,4000,4500,4150,4875,4200
270,35,3450,4100,2625,1125,N/A,N/A,4275,4825,4450,5175,4525
270,40,3700,4350,2525,1050,199,N/A,4550,5125,4750,5550,4825
270,45,3900,4600,2425,975,190,N/A,4825,5450,5050,5900,5150
270,50,4150,4850,2325,900,185,N/A,5100,5750,5350,6250,5450
270,55,4400,5150,2250,850,182,N/A,5375,6075,5650,6625,5725
270,60,4650,5400,2175,775,179,N/A,5650,6400,5925,7000,6025
280,20,2950,3550,2800,1300,NO,DATA,3700,4200,3825,4450,3875
280,25,3200,3850,2700,1200,NO,DATA,4000,4500,4150,4825,4200
280,30,3450,4100,2600,1100,N/A,N/A,4300,4850,4475,5175,4525
280,35,3700,4350,2500,1025,190,N/A,4600,5200,4800,5575,4875
280,40,3950,4650,2400,950,183,N/A,4900,5550,5125,5950,5200
280,45,4200,4950,2300,875,180,N/A,5200,5900,5450,6350,5525
280,50,4450,5200,2200,800,178,N/A,5500,6225,5750,6775,5850
280,55,4750,5500,2125,750,175,N/A,5800,6575,6050,7200,6150
280,60,5000,5800,2050,675,165,N/A,6100,6925,6375,7650,6475
290,20,3200,3850,2700,1225,NO,DATA,3950,4450,4125,4825,4175
290,25,3450,4100,2600,1125,NO,DATA,4275,4825,4475,5200,4525
290,30,3750,4450,2500,1025,190,N/A,4625,5225,4825,5625,4900
290,35,4000,4700,2400,950,180,N/A,4950,5600,5175,6050,5250
290,40,4300,5050,2300,875,178,N/A,5300,6000,5500,6475,5600
290,45,4550,5300,2200,800,170,N/A,5600,6350,5850,6825,5950
290,50,4850,5650,2100,725,165,200,5950,6750,6175,7200,6300
290,55,5150,5950,2025,675,162,200,6275,7175,6525,7625,6650
290,60,5400,6250,1950,600,159,195,6600,7600,6875,8075,7000
300,20,3400,4050,2600,1125,NO,DATA,4200,4725,4425,5075,4475
300,25,3700,4350,2500,1050,NO,DATA,4575,5175,4800,5525,4875
300,30,4000,4700,2400,950,180,N/A,4925,5575,5175,5975,5250
300,35,4300,5000,2300,875,171,N/A,5300,6000,5525,6425,5650
300,40,4600,5350,2175,800,165,N/A,5650,6400,5900,6850,6000
300,45,4900,5700,2100,725,160,200,6025,6825,6250,7300,6350
300,50,5200,6050,2000,650,156,192,6375,7300,6625,7775,6750
300,55,5500,6350,1925,600,157,190,6750,7800,7025,8250,7150
300,60,5800,6700,1850,525,153,182,7100,8200,7400,8750,7550
310,20,3700,4350,2500,1050,NO,DATA,4500,5025,4725,5425,4800
310,25,4000,4700,2400,950,NO,DATA,4900,5550,5125,5900,5200
310,30,4300,5000,2300,875,173,N/A,5275,5975,5525,6400,5625
310,35,4650,5400,2175,800,162,199,5675,6425,5900,6925,6000
310,40,4950,5750,2075,700,159,190,6050,6850,6300,7475,6400
310,45,5300,6150,1975,650,155,187,6450,7400,6700,7900,6825
310,50,5600,6450,1900,575,153,181,6825,7875,7125,8400,7250
310,55,5950,6850,1825,525,152,180,7225,8350,7525,8900,7675
310,60,6250,7200,1750,450,149,177,7600,8750,7925,9375,8075
320,20,3950,4650,2400,950,NO,DATA,4800,5425,5025,5800,5100
320,25,4300,5000,2300,875,NO,DATA,5225,5925,5450,6300,5550
320,30,4600,5350,2200,800,165,200,5625,6375,5875,6800,5975
320,35,4950,5750,2075,725,159,187,6050,6875,6275,7300,6400
320,40,5300,6150,1950,625,155,181,6450,7400,6725,7850,6825
320,45,5650,6500,1875,575,150,179,6875,7925,7175,8375,7300
320,50,6000,6900,1800,500,150,175,7275,8400,7600,8900,7750
320,55,6350,7350,1725,425,148,175,7700,8875,8025,9400,8175
320,60,6700,7750,1650,375,144,169,8100,9300,8475,9900,8625
330,20,4200,4900,2325,900,NO,DATA,5100,5750,5375,6300,5475
330,25,4550,5300,2225,800,NO,DATA,5550,6275,5825,6800,5925
330,30,4950,5750,2125,725,160,190,6000,6800,6275,7325,6375
330,35,5300,6150,2000,650,153,180,6425,7375,6750,7875,6855
330,40,5700,6550,1875,550,150,172,6900,7975,7225,8425,7350
330,45,6050,6950,1800,500,147,171,7325,8475,7675,8975,7825
330,50,6450,7450,1725,425,144,168,7775,8950,8150,9500,8300
330,55,6800,7850,1650,375,142,165,8200,9425,8625,10050,8775
330,60,7200,8300,1575,300,139,160,8650,9900,9050,10575,9200
340,20,4450,5200,2250,825,NO,DATA,5400,6100,5725,6600,5825
340,25,4850,5600,2150,750,NO,DATA,5875,6650,6200,7175,6325
340,30,5250,6050,2025,650,155,181,6350,7250,6700,7775,6825
340,35,5650,6500,1950,575,149,173,6825,7900,7225,8375,7350
340,40,6050,6950,1775,500,147,167,7300,8425,7725,8975,7875
340,45,6450,7450,1700,425,142,165,7775,8850,8200,9525,8375
340,50,6850,7900,1625,350,140,161,8250,9475,8700,10125,8850
340,55,7250,8350,1550,300,139,160,8725,10000,9150,10700,9300
340,60,7650,8800,1475,250,138,157,9200,10525,9625,11275,9775
350,20,4750,5500,2175,775,NO,DATA,5750,6525,6075,6925,6175
350,25,5150,5950,2050,675,NO,DATA,6250,7125,6600,7575,6700
350,30,5600,6450,1950,575,151,177,6775,7800,7125,8300,7275
350,35,6050,6950,1825,500,145,169,7275,8400,7675,8950,7825
350,40,6450,7450,1700,425,143,161,7800,8975,8200,9550,8350
350,45,6850,7900,1625,350,139,160,8275,9500,8725,10100,8875
350,50,7300,8450,1550,275,139,158,8800,10075,9225,10700,9375
350,55,7750,8900,1475,225,138,157,9300,10625,9725,11275,9875
350,60,8200,9400,1400,175,136,151,9800,11175,10275,11900,10475
360,20,5050,5850,2100,700,NO,DATA,6100,6925,6400,7325,6500
360,25,5500,6350,1975,600,NO,DATA,6650,7650,6975,8125,7100
360,30,5950,6850,1850,500,148,170,7175,8300,7550,8850,7700
360,35,6400,7400,1725,425,141,162,7725,8900,8125,9475,8275
360,40,6850,7900,1600,350,139,158,8250,9475,8675,10075,8850
360,45,7300,8450,1525,275,138,155,8800,10075,9225,10700,9375
360,50,7800,8950,1450,200,137,153,9325,10675,9750,11325,9925
360,55,8250,9450,1375,150,136,153,9875,11275,10355,12000,10550
360,60,8700,9950,1300,100,134,149,10400,11875,10925,12600,11125
370,20,5350,6200,2025,650,NO,DATA,6450,7400,6775,7850,6900
370,25,5850,6700,1900,550,NO,DATA,7025,8125,7400,8675,7550
370,30,6350,7300,1775,450,143,163,7600,8750,8025,9325,8175
370,35,6800,7850,1650,375,139,159,8150,9375,8625,9975,8775
370,40,7300,8450,1525,300,138,154,8750,10025,9175,10650,9325
370,45,7800,8950,1450,225,136,151,9300,10650,9775,11300,9925
370,50,8300,9550,1375,150,135,149,9875,11275,10400,12000,10600
370,55,8800,10000,1300,100,134,148,10425,11900,11000,12675,11200
370,60,9250,10600,1225,50,132,145,11000,12600,11575,13400,11775
380,20,5650,6500,1925,575,NO,DATA,6800,7850,7175,8550,7300
380,25,6200,7150,1800,475,NO,DATA,7400,8500,7825,9050,8000
380,30,6700,7750,1675,375,140,160,8000,9200,8475,9800,8625
380,35,7200,8350,1575,300,138,156,8600,9850,9075,10400,9225
380,40,7750,8900,1450,225,137,150,9200,10525,9700,11175,9850
380,45,8250,9450,1375,150,134,148,9800,11200,10350,11975,10575
380,50,8800,10000,1300,100,133,146,10400,11875,11000,12650,11225
380,55,9300,10650,1225,50,132,145,11000,12600,11600,13400,11800
380,60,9850,11000,1150,0,131,141,11600,13400,12275,----,12500
390,20,6000,6900,1850,525,NO,DATA,7150,8275,7625,8825,7775
390,25,6550,7550,1725,425,NO,DATA,7800,9000,8325,9575,8475
390,30,7100,8200,1600,325,139,158,8450,9700,9000,10300,9150
390,35,7650,8800,1475,250,136,151,9075,10375,9625,11000,9775
390,40,8200,9400,1375,175,134,148,9750,11125,10350,11850,10550
390,45,8750,9975,1300,100,132,145,10375,11850,11050,12625,11250
390,50,9350,10650,1225,50,132,142,11025,12625,11700,13425,11900
390,55,9800,11000,1100,0,131,142,11725,13500,12425,----,12650
390,60,10375,11825,975,----,130,139,12300,----,13075,----,13375
400,20,6300,7275,1750,450,NO,DATA,7500,8650,8100,9225,8225
400,25,6875,7950,1625,350,NO,DATA,8250,9475,8800,10075,8950
400,30,7475,8550,1500,250,137,154,8875,10175,9500,10800,9650
400,35,8075,9300,1400,175,135,149,9575,10925,10250,11575,10450
400,40,8675,9950,1300,100,133,143,10250,11725,11000,12500,11200
400,45,9250,10600,1225,50,131,142,10950,12550,11700,13275,11875
400,50,9850,11050,1150,0,130,139,11625,13425,12475,----,12725
400,55,10450,11800,1075,----,129,139,12325,----,13175,----,13450
400,60,11075,12600,1100,----,128,138,13000,----,----,----,----
410,20,6650,7650,1675,400,NO,DATA,7900,9100,8850,9825,8725
410,25,7275,8700,1550,300,NO,DATA,8650,9925,9300,10500,9450
410,30,7900,9100,1450,200,135,150,9400,10750,10100,11275,10300
410,35,8550,9825,1325,100,134,145,10075,11475,10925,12175,11150
410,40,9175,10550,1250,50,132,141,10850,12425,11675,13200,11875
410,45,9800,11175,1175,0,130,140,11550,13175,12500,----,12750
410,50,10375,11800,1100,----,129,138,12350,----,13250,----,----
410,55,11000,12550,1025,----,128,138,13000,----,----,----,----
410,60,11600,13100,950,----,127,136,----,----,----,----,----
420,20,6950,7975,1625,350,NO,DATA,8450,9650,9000,10300,9150
420,25,7625,8800,1515,260,NO,DATA,9245,10545,9825,11225,10000
420,30,8300,9525,1400,165,134,149,10050,11450,10700,12125,10950
420,35,8975,10350,1285,70,133,142,10850,12175,11525,13050,11725
420,40,9650,11025,1200,----,129,139,11625,----,12425,----,12650
420,45,10325,11725,1120,----,128,138,12425,----,13250,----,----
420,50,11000,12450,1040,----,128,136,13225,----,----,----,----
420,55,11675,13250,960,----,127,136,----,----,----,----,----
420,60,12350,14175,875,----,125,135,----,----,----,----,----